category,question,answer
flipkart quick,is there a minimum purchase amount for flipkart quick orders,yes the minimum order value for an order to be fulfilled is rs 150
flipkart quick,what are the different payment options available for flipkart quick,you can choose to pay for your order through netbanking credit card debit card upiwallets or by cash
flipkart quick,can i cancel a part of my flipkart quick order after i have placed it,yes until your order is packed you can choose to cancel a part of it you can check the status of your order in the my orders page of your flipkart account
flipkart quick,can i choose a preferred time slot for the delivery of flipkart quick orders,yes you can choose your preferred time from available slots for the same day
flipkart quick,can i modify my chosen time slot for the delivery of flipkart quick orders,no once you have chosen your preferred delivery slot it cannot be modified
flipkart quick,can i change the mode of payment once i have placed a flipkart quick order,once an order is placed payment mode cannot be changed currently
flipkart quick,can i change the delivery address after i have placed a flipkart quick order,no once an order is placed the delivery address cannot be changed
supercoins,what are supercoin milestones,supercoin milestones let customers unlock benefits by earning a specific number of supercoins
supercoins,when benefits are unlocked as part of supercoin milestones will there be deduction of supercoins,no there will be no deduction of supercoins even when benefits are unlocked
supercoins,how long will the benefit be unlocked as part of my supercoin milestones,once you reach the specified milestone by earning required number of supercoins and unlock a benefit it will be available for a year however if you have the required number of supercoins even after a year the benefit you have unlocked will be automatically renewed for another year 
supercoins,how do i renew my benefits as part of supercoin milestones,in case you have required supercoins as per the specified milestone the benefits that you have unlocked as part of supercoin milestones will be renewed and you can continue to avail them even after a year 
supercoins,what is cash and coins for rewards program,cash and coins for rewards enables customers to redeem select rewards offered by third party using a combination of supercoins and a specific amount the amount and the number of supercoins that have to be used to redeem a reward are predetermined and cannot be changed
supercoins,who all can avail cash and coins for rewards,cash and coins for rewards is available for all flipkart customers based on the avaialibity of your supercoin balance you can redeem existing rewards 
supercoins,can i choose the number of supercoins that can be redeemed for a purchase as part of cash and coins for rewards program,the amount to be paid and the supercoins that can be redeemed as part of the cash and coins for rewards is a predetermined combination a reward can be purchased by redeeming only the exact number of supercoins mentioned on the reward page
supercoins,can i buy rewards using only prepaid mode of payment and redemption of supercoins as part of cash and coins for rewards program,no currently as part of cash and coins for rewards program rewards can be purchased only by paying using a combination of specific amount and by redeeming the number of supercoins mentioned
supercoins,can i buy all the listed rewards using prepaid mode of payment and by redeeming supercoins as part cash and coins for rewards,no the option to use cash and coins is applicable only on select rewards under the rewards store of supercoin zone
supercoins,can i purchase rewards using cash and coins option from desktop,cash and coins for rewards program is currently available only on our app and msite 
supercoins,can i make the payment using prepaid mode of payment and gift card as part of the cash and coins for rewards,the amount specified to redeem a reward can only be paid through a prepaid mode of payment such as debit credit card and netbanking please note the prepaid methods mentioned cannot be combined to complete the payment option to pay via gift card is currently not available
supercoins,where can i find the code for the rewards claimed as part of the cash and coins for rewards,you can get codes for claimed rewards in the claimed rewards section of the rewards store under supercoin zone
supercoins,will i get supercoins for using cash and coins for rewards,there will be no supercoins earnings as part of cash and coins for rewards you can only redeem supercoins to avail a reward
supercoins,can i cancel or return a reward as part of the cash and coins for rewards for program,no once a reward is claimed it cannot be cancelled
supercoins,which are the thirdparty partner stores where i can use supercoin pay feature,you can check out the list of thirdparty partner stores where you can use supercoin pay feature and redeem supercoins by visiting the supercoin zone we are constantly working on expanding this list so you can avail this feature across a widerange of stores
supercoins,can supercoin pay feature be used to shop online,yes supercoin pay feature can be used to shop online based on thirdparty partner stores available in the supercoin zone
supercoins,is it necessary to register on twid innotarget fashalot retail private limited or at the thirdparty partner store to use supercoin pay feature,no it is not necessary to register on twid innotarget fashalot retail private limited or at the thirdparty partner store to use supercoin pay feature
supercoins,is it necessary for me to be registered with the same contact number at the thirdparty partner store for me to use supercoin pay feature,no it is not necessary for you to be registered with the same contact number at the thirdparty partner store to be able to use the supercoin pay feature
supercoins,how can i know if the store i am at has the option of using supercoin pay feature,please ask the cashier at the store if the option to pay through supercoin pay feature is available with them or you can look for a qr code scanner with flipkart logo and supercoin pay option
supercoins,what does it mean if a store displays a supercoin pay qr code,supercoin pay feature allows you to make payment for the product purchased at a thirdparty partner store and to redeem supercoins in the supercoin zone of your flipkart account to use this feature open the qr code scanner available in the supercoin zone on the app and scan the qr code to be directed to the payment page
supercoins,why is my preferred store not showing up for supercoin pay on the flipkart app,supercoin pay feature is currently available only with select thirdparty partner stores if youre unable to find a specific store or brand for supercoin pay on the flipkart app it means that it is not listed as a partner store with us at the moment you can visit the supercoin zone and click on stores nearby to find the list of the partner stores rest assured we are working on expanding our partner stores so you can avail this feature
supercoins,how do i know if a thirdparty partner store accepts supercoin pay if there is no qr code scanner available,to check if a thirdparty store has partnered with us for the supercoin pay feature please check with the cashier at the store or you can visit the supercoin zone and check the list of the partner stores using stores nearby option
supercoins,what are inapp offers for supercoin pay,inapp offers are offers provided by brands and banks as part of supercoin pay with terms and conditions applicable these offers help you save extra on your spendings at thirdparty partner stores to avail an offer please scan the qr code enter the bill amount and select apply brand voucher by choosing the relevant discount available
supercoins,what is the purpose of the scratch card in supercoin pay,on every successful transaction using supercoin pay feature you will get a scratch card by twid innotarget fashalot retail private limited with terms and conditions applicable once you scratch it you will either find supercoins or an offer inside any supercoins obtained as part of the offer will be credited to the coin balance section of the supercoin zone within 48 hours and it will also reflect in the coin activity section
supercoins,where will i find a scratch card after using supercoin pay feature for an order,if an order is eligible for scratch card by twid innotarget fashalot retail private limited it will be added soon after transaction is successful please go to my orders page of your flipkart account tap on the supercoin pay logo at the top of the page and choose supercoin pay from the menu there will a tab at the top of the page with scratch cards and you will be able to find your scratch card on that particular tab please note that offers are subject to terms and conditions
supercoins,what are the citiesstates that have thirdparty partner stores to redeem the supercoin pay feature,supercoin pay feature is available all over the country you can make payments at any thirdparty store listed on supercoin zone section of your flipkart account to see the list of stores near you where you can pay using supercoin pay the app will need access to your devicesphones location in case you would like to go ahead with this feature please provide necessary permissions to the flipkart app remember stores that are not listed for your area or not showing up on the app will not accept the payment through supercoin pay
supercoins,can i scan any qr code in the store to initiate the payment for an order using supercoin pay feature,no only twid innotarget fashalot retail private limited or qr codes associated with supercoin pay feature can be scanned to complete payment for an order using supercoin pay feature
supercoins,for how long is a payment code as a part of supercoin pay valid once it is generated,a payment code generated will be valid for 24 hours hours
supercoins,what all brands are part of the supercoin pay program,you can check details of partnered brands on the supercoin zone of flipkart app however please continue checking the app as we will keep adding other brands to the existing list
supercoins,how secure is the payment through supercoin pay,twid innotarget fashalot retail private limited platform is designed to ensure your data is safe and secure this is a pci dss certified platform that makes your transaction completely safe your data is 256 bits encrypted and with your full optin consent and transparency
supercoins,do i have to manually unlock a scratch card as part of supercoin pay,yes you would need to tap on a scratch card by twid innotarget fashalot retail private limited to unlock your surprise reward please note that offers are subject to terms and conditions
supercoins,what is supercoin pay feature,supercoin pay enables you to redeem supercoins to avail discounts in combination with a prepaid payment mode for purchases on flipkart platform and at thirdparty partner storesplease note you can redeem supercoins for discounts on a product on flipkart platform based on the value you see on the product page and as per the terms and conditions of the participating banks or the payment mode however at a thirdparty partner store you may be able to redeem all your supercoins based on the final bill value
supercoins,how can i redeem supercoins through supercoin pay feature during my purchase at a thirdparty partner store or on flipkart platform,to avail discounts by redeeming supercoins through supercoin pay at a third party store is easy heres how you can use the feature open the flipkart app visit the supercoin zone click on stores nearby search for the store you are at and select it enter the final bill amount once the cashier confirms it select any applicable offer and supercoins points to be redeemed enter the otp sent to your registered phone number to verify the number of supercoins being redeemed in case of only supercoins redemption once the verification is done you will be redirected to the confirmation page which will display a payment code show this code to the cashier and the transaction will be completed in case of prepaid mode of payment proceed to pay the balance amount using your preferred payment method from creditdebit card or netbanking option once the amount is added you will be redirected to the confirmation page which will display a payment code show this code to the cashier and the transaction will be completedalternatively you can scan qr code powered by twid innotarget fashalot retail private limited at partner stores for quick access and payment to scan please visit the supercoin zone on the flipkart app and click on the qr code scanner at the top right cornerheres how you can use the feature to redeem supercoins on flipkart open the flipkart app add the product to the cart choose the supercoin pay from the available payment option to redeem supercoins for dicounts along with any other prepaid payment mode of participating banks to complete your purchase
supercoins,can i redeem all of my available supercoins while using the supercoin pay feature,you may be able to redeem all your available supercoins to avail discounts on the basis of the platform in case the transaction is being completed on flipkart platform the redemption of supercoins to avail a discount will depend on the value on the product page and the terms and conditions of the participating bank or the payment mode however while transacting at a thrid party partner store it will depend on the final bill value
supercoins,can i make the payment through cash or upi payment mode to avail benefits as part of supercoin pay at a thirdparty partner store,the option to pay by cash is not available at the moment to avail supercoin pay related benefits however you can make the payment using creditdebit card netbanking and upi payment modes if you want you can also redeem only supercoins to avail discounts using supercoin pay feature
supercoins,how do i apply an offer while making the payment using supercoin pay feature,to apply an offer while redeeming supercoins at a third party store please follow the below mentioned steps open flipkart app go to supercoin zone scan the qr code or select the outlet youre at enter the final bill amount after cashiers confirmation  you will be able to view the offers available  select the applicable offerto apply an offer while redeeming supercoins on flipkart platform please follow the below steps open the flipkart app click on supercoin pay from the payment options instant discount will be already applied view the offer details to know the supercoin redemption value and discount detailskindly note that on flipkart platform offers are subjected to the terms and conditions of the participating banks or the payment mode
supercoins,can i cancel the order that i paced by redeeming supercoin through the supercoin pay feature,yes orders placed by redeeming supercoins through supercoin pay feature can be cancelled as per the cancellation policy of the thirdparty partner store at which the transaction was made kindly contact the partner store for more details for purchases on flipkart platform please refer to the cancellation policy of the product
supercoins,can i return a product and ask for a refund if i have purchased it by redeeming my supercoins to avail discount through supercoin pay feature,to return a product purchased at a third party partner store please contact the store as the policy may differ based on store partners to return a product bought at flipkart platform please refer to the sellers returns policy available on the platform
supercoins,how does supercoin pay feature work on flipkart platform,supercoin pay on flipkart platform enables all customers who have more than 9 supercoins in their flipkart account to redeem their supercoins to avail discounts while buying a product as part of supercoin pay customers can avail discounts by redeeming supercoins and pay using a prepaid payment mode provided by participating banks however the redemption of supercoins will depend on the value of the product and terms and conditions of the paticipating bank or the payment mode
supercoins,will i get the available bank offers on flipkart platform if i choose to redeem supercoins through supercoin pay,yes you can surely avail bank offers in case you choose to redeem supercoins through the supercoin pay feature while placing an order however please note that the offer value will be calculated based on the amount being paid via the prepaid mode of payment option provided by participating banks
supercoins,what is the difference between the supercoins price option available on the product page and supercoin pay on flipkart platform,supercoins price is determined by the seller and as part of this price discounts on a product can be availed by redeeming only the exact number of supercoins mentioned on the product page customers can also choose to buy the product by paying the regular price mentioned on the product page on the other hand supercoin pay feature on flipkart platform enables a customer with more than 9 supercoins in their account to redeem supercoins to avail discounts in combination with prepaid payment mode of participating banks
supercoins,while transacting on flipkart platform as part of supercoin pay can i redeem supercoins along with a prepaid payment mode provided by any bank,currently as part of supercoin pay supercoins can be redeemed to avail discounts along with prepaid payment mode provided only through participating banks
supercoins,can i redeem supercoins through supercoin pay feature for products from all the categories on the flipkart platform,yes you can use supercoin pay feature to redeem supercoins to avail discounts in combination with prepaid payment mode of participating banks to complete purchase of products from all categories on flipkart platform however please note supercoin pay feature on flipkart platform cannot be used for refurbished products travel bookings grocery flipkart gift cards and third party rewards
refurbished,what is a refurbished product and how do i identify it on flipkart,a refurbished product is a preowned product that has been tested for optimal performance and functionality while being covered by a specific warranty provided by the seller these products are classified under various grades as per their condition and you can know more details by visiting the refurbished zone on flipkart you can distinguish refurbished products from new products by looking for a refurbished tag that is present for all refurbished products near the product name
refurbished,how are prices of refurbished products decided,sellers decide the price of the refurbished product as per the grade which is arrived at based on the time period of products usage and the appearance as a result of wear and tear
refurbished,how can i understand the grade of a refurbished product,each refurbished product is assigned a grade and you can find the details about the grade under the grade tag for more information on various grades please visit the refurbished zone on flipkart
refurbished,can refurbished products be searched by their product name,no refurbished products cannot be searched by their product names however you can view the list of refurbished products by typing refurbished in the search bar or by visiting the refurbished zone
refurbished,can i filter my search for refurbished products in terms of product grades,yes you can filter the refurbished products based on their grades in the refurbished zone on flipkart
refurbished,why is the refurbished category not visible for me on my flipkart app,looks like you have an old version of the flipkart app installed on your phone please update your app to the new version to access and shop for refurbished products on flipkart
refurbished,what are the charges applicable for warranty claim in case of a refurbished product,services covered under the warranty will be provided without any charge you can find more details about the services in the product page or the warranty card provided
refurbished,how do i claim warranty services for refurbished products,you can get in touch with the warranty service provider to claim services covered under the sellers warranty please check the warranty card you would have received with the product or the product page for contact details of the warranty service provider
refurbished,what date does the warranty service apply for my refurbished product purchased on flipkart,the warranty for your refurbished product starts from the date mentioned on the sellers invoice
refurbished,how are refurbished products categorised on flipkart,the refurbished products are classified as followsunboxed  like new  zero scratchesrefurbished superb  negligible scratchesrefurbished good  minimal scratchesrefurbished okay  visible scratchesfor more details about each type please visit this link httpswwwflipkartcomrefurbishedgradesstore
refurbished,what types of products will be available under flipkart refurbished zone,sellers are currently selling only refurbished mobile phones on flipkart
refurbished,how will i claim warranty for refurbished products,all refurbished products on flipkart are covered under a warranty and details are mentioned on the product page to claim services covered under the sellers warranty you can get in touch with the warranty service provider xtra cover using the contact details mentioned on the product page the contact details will also be mentioned on the invoice that you will get when you buy the product
flights,how do i know if my booking has been confirmed,once you complete your booking you will receive an email with the eticket and an sms confirming the same you will also receive another sms from the airline with the booking details
flights,i want to update my email idphone number for the booking that ive just made how do i do it,you can get in touch with the airline to update your email idphone number
flights,how can i add extra baggagemeals to my flight booking what are the charges,you can get in touch with the airline for the addition of extra baggagemeals to your flight booking and to know the charges
flights,how can i get the eticket for my flight booking,an eticket is always sent to your registered email address right after your flight booking is confirmed you can also view the eticket from the my orders section of your flipkart account on our app under my orders click travel bookings select the booking for which you want the eticket and then choose either of the two options view eticket and email eticket please note that the view eticket option is not available on our website
flights,how can i cancel my flight booking,heres how you can cancel your flight booking on the flipkart app1 click on the flights section and visit my orders2 for the flight booking that you want to cancel select the passengers name sector and reason for cancellation and click on calculate refund3 check the airline fare rules and cancel the booking as desired
flights,what is web checkin,web checkin is the process through which you can confirm your availability for boarding a flight and get the boarding pass from the airlines website prior to your date of travel you may also get options to choose meals baggage etc and select seats as per your preference depending on the airline and the flight 
flights,how can i do a web checkin,heres how you can easily do the web checkin for your flight1 visit the online checkin page of the airline2 enter your surname and booking referencepnr to initiate your checkin3select the passengers youd like to checkin4you may be asked to enter advance passenger information if required by the destination country only for intl flights5print your boarding pass
flights,can i make partial payments at the time of flight booking,no the option to make partial payments for booking a flight is currently not available on flipkart travel
flights,what are the various payment options available for flight booking,you can book your flight on flipkart travel using any of the following payment optionscreditdebit card net banking credit card emiupiwallets
flights,can i use my card to book a flight in someone elses name,yes but please mention the name of the person travelling as per any government id proof under the travellers name section
flights,what is a convenience fee why am i being charged,a convenience fee can also be referred to as an internet handling fee and is charged by the booking service provider while most portals add it on the payment page we believe in being transparent about it and showing the convenience fee on the booking details page itself please note that the fee is usually nonrefundable if you cancel the ticket
flights,what are no show and no refund,no show is the term used by airlines to indicate the status of a passenger who makes a reservation but neither travels nor cancels the bookingwhen cancellation penalties including that charged by flipkart travel and the airline combined are higher than the amount paid by the customer at the time of booking the customer is not eligible for any refund except for some unutilised taxes from your booking amount and this is called as no refund
flights,can i use supercoins to book a flight on flipkart travel travel if yes what is the limit,yes you can use your supercoins which are in a credited state to book flights on flipkart travel and there is no limit to the number of supercoins that you can use for a single booking
flights,what is a boarding pass,a boarding pass or boarding card is a document provided by an airline during checkin that gives passengers permission to enter the restricted area of an airport also known as the airside portion of the airport and to board the aeroplane for a particular flight
flights,i have redeemed a coupon code for a flight booking that i have cancelled can i use the same coupon code for a new bookingi have redeemed a coupon code for a flight booking that has been cancelled by the airline can i use the same coupon code for a new booking,no a coupon code cannot be redeemed for more than one booking
flights,how can i get the information about the terminal from where my flight is scheduled to depart,information about the terminal is mentioned on the eticket that is sent to your registered email after your booking is confirmed however it is recommended that you still confirm it with the airline as terminals are subject to change 
flights,what happens if i miss my flight,in case you miss your flight you will be declared a no show as per airline guidelines and only some unutilised taxes from your booking amount will be refunded to you by the airline
flights,how can i preselect my flight seat,while some airlines give you the option to preselect seats free of cost others may charge a fee you can prebook seats during the web checkin process 
flights,i want wheelchair assistance for my flight booking how do i arrange that,wheelchair service is provided by all airlines free of cost please get in touch with the airline directly and place a wheelchair service request
flights,which documents do i need to carry for a domesticinternational flight,for a domestic flight you will need to carry a governmentapproved id pan card driving license aadhar card voter id passport along with a digital or print copy of your ticketin case of an international flight along with a digital or printed copy of your ticket it is mandatory to carry a valid passport you may also need a valid visa for the country you are travelling to please check the visarelated guidelines of that country before travelling
flights,which documents do i need to carry for an infant while travelling by flight,you can carry the date of birth certificate or passport for an infant vaccination cards are also accepted by a few airlines for domestic travel however you can get in touch with the airline for additional information
hotels,how do i know if my hotel booking has been confirmed,once you complete your hotel booking you will receive an email with a voucher and an sms with the booking confirmation
hotels,how can i get the voucher for my hotel booking,a voucher is always sent to your registered email address right after your hotel booking is confirmed you can also view the voucher in the my orders section of your flipkart account under my orders click travel bookings and select the booking for which you want the voucher
hotels,how can i cancel my hotel booking,heres how you can cancel your hotel bookinggo to my ordersselect travel bookingsselect the booking you want to cancelclick on cancel booking review the refund amountclick confirm to cancel
hotels,what is a convenience fee why am i being charged,a convenience fee can also be referred to as an internet handling fee and is charged by the booking service provider while most portals add it on the payment page we believe in being transparent about it and showing the convenience fee on the booking details page itself please note that the fee is usually nonrefundable if you cancel the booking
hotels,what is a no show,no show is the term used by hotels to indicate the status of a traveller who makes a reservation but neither checks in nor cancels the booking
hotels,can i use supercoins to book a hotel on flipkart travel if yes what is the limit,yes you can use your supercoins which are in a credited state to book hotels on flipkart travel and there is no limit to the number of supercoins that you can use for a single booking
hotels,what will happen to the supercoins i have used for my hotel booking in case i cancel my booking,in case youve booked your hotel combining supercoins with any other prepaid modes of payment and if you choose to cancel your booking the number of supercoins redeemed for the booking will be refunded to your flipkart account any amount paid using one of the prepaid modes will be refunded to the original source of payment please note that the final refund amount will be calculated after deducting the cancellation charges which will be applicable to the entire booking amount
hotels,my hotel booking has failed and the coupon code used could not be redeemed can i use the same coupon code for another booking,yes if you have not been able to redeem your coupon code due to a booking failure you can use the same coupon code for a new booking
hotels,which documents do i need to furnish for a hotel booking in india during checkin,you will need to carry a governmentapproved id pan card driving license aadhar card voter id passport along with a digital or printed copy of your ticket
hotels,which documents do i need to carry for an international hotel,along with a digital or printed copy of your ticket it is mandatory to carry a valid passport you may also need a valid visa for the country you are travelling to please check the visarelated guidelines of that country before travelling 
bounce,can i pay for the bounce vehicles registration and insurance on flipkart,currently the option to pay for the registration and insurance is not available on flipkart please note that the vehicle registration amount needs to be paid directly to the brand authorised dealer you can choose to buy the vehicle insurance from the dealer or on your own from a different insurance service provider
bounce,will i get any extra discountnocost emi at the bounce authorised dealership for insurance and vehicle registration charges,please reach out to the brand authorised dealer for any discountrelated information on insurance if it is being purchased from them kindly note that the vehicle registration charge is a government tax and is the same for all it does not include any discount or the option to pay through emi
bounce,i have bought the bounce 2wheeler but i want to have a different model what should i do,in case you want to buy a different model than the one you have already purchased you can cancel the existing order and place a new order for the desired model please note the option to cancel the order will not be available after the submission of documents required for processing registration
bounce,in which all cities is bounce operational,bounce is currently operational in bangalore hyderabad delhi ahmedabad mumbai and pune
bounce,how can i track my order for the bounce 2wheeler after completing my payment on flipkart,tracking your order for 2 wheeler on flipkart is easy and can be done through the my orders section of your flipkart account here wwwflipkartcomaccountordersyou can also choose to contact the brand authorised dealer to know more about the status of your 2wheeler
bounce,once i have paid for the registration and the insurance how do i track my order for the bounce 2wheeler,after you have paid for the registration and insurance you can track the order status of your bounce 2wheeler by visiting the my reservation section of their website bounceinfinitycomyou can also contact the brand authorised dealer to know the status of your vehicle
bounce,is the price shown on the product page for a bounce 2wheeler the final amount,please note that the price shown on the product page is the exshowroom price of the vehicle you will also have to pay for registration insurance any other accessories and valueadded services opted as applicable at the brand authorised dealer
bounce,why am i not able to see the option to buy a bounce 2wheeler for my pincode,please note that the option to purchase a bounce 2wheeler is available only in select cities rest assured the brand authorised dealers are working on expanding this
bounce,what is the advantage of buying a bounce 2wheeler on flipkart,if you choose to buy the 2wheeler on flipkart then the vehicle will be delivered to you within 15 days by the brand authorised dealers in case you book the vehicle at a showroom it may take up to 90 days for the vehicle to be delivered
bounce,what is the process after paying the exshowroom price for a bounce 2wheeler on flipkart,once youve paid the exshowroom price for the 2wheeler on flipkart the authorised dealer will contact you within 48 hours to initiate the process of registration after this you will need to visit the brand authorised dealer to submit the required documents and within the next 710 days the 2wheeler will be handed over to you at the authorised dealers location
bounce,can i submit my documents online for a bounce 2wheeler and not visit the brand authorised dealer,yes you can submit the required documents via email the authorised dealer will assist you in case a hard copy is needed for documentation
bounce,what are the documents required for the entire process of buying a bounce 2wheeler on flipkart,the following documents need to be submitted to the brand authorised dealer to complete the purchase of a 2wheeler aadhar card pan card address proof passport size photo
bounce,what will happen if the bounce authorised dealer who will contact me is very far from my location,please be assured that the nearest authorised dealer will contact you as part of the purchase of a 2wheeler on flipkart
bounce,will i get the option to test drive a bounce 2wheeler how many times will i be allowed to take a test drive in the same order,please contact the brand authorised dealer for any test driverelated queries
bounce,in which all cities can i purchase a bounce 2wheeler,please note bounce 2wheelers can be currently purchased in bangalore hyderabad delhi ahmedabad mumbai and pune rest assured brand authorised dealers are working on expanding this to other cities
bounce,is the price for a bounce 2wheeler inclusive of subsidy,please note the price displayed on the product page includes subsidy provided by the central government and is linked to your aadhar card and that would mean that this price is applicable only for your first purchase of an electrical vehicle
bounce,is there any loan facility available for the purchase of bounce 2wheelers on flipkart,currently there is only a nocost emi option available on flipkart for the purchase of bounce 2wheelers
bounce,can i choose my own insurance partner for a bounce 2wheeler,you can choose to buy the vehicle insurance from the dealer or on your own from a different insurance service provider once youve purchased the insurance please share details with the authorised dealers so that they can initiate the process of registration at the rto
bounce,there have been recent reports of batteries catching fire how do i know that bounce 2wheelers are safe,bounce uses premiumgrade cells highquality battery packers using the right infra and technology for packing the batteries and testing them they also carry out stringent quality checks at the time of purchasing batteriesadditionally bounce does not use rapid charging which can be detrimental to the health of the battery by making the battery behave erratically and this could adversely impact the thermal management the charging stations and the batteries provided by bounce are smart and iotenabled which ensure safe power management bounce also provides a dashboard to its consumers through which they can view details about the health of the battery and good practices for battery usage 
bounce,what are the accessories that will be part of a bounce 2wheeler,bounce currently provides only a side stand as an accessory please note they are working on expanding accessoriesrelated services
bounce,is the warranty being offered by flipkart for bounce 2wheelers,please note the warranty for 2wheelers will be provided by the brand
bounce,what is the warranty being offered by bounce,bounce provides a comprehensive warranty on both the battery and vehicle bounce infinity electric scooter comes with a warranty of 3 years or 40000 kilometers whichever is completed first bounce infinity electric battery comes with a warranty of 3 years or 45000 kilometers whichever is completed firstfor more details on the warranty please contact the brands customer support team at 18003092830 or you can choose to write to them at helpbounceinfinitycom
bounce,do i need to have a driving license to drive a bounce 2wheeler,please note bounce 2wheelers with a maximum speed of 25 kmh do not require a driving license to ride them however vehicles above the speed of 25 kmh will require a driving license
bounce,what charging options are available with bounce 2wheelers,there are two charging options available for bounce vehicles1 using the charger that comes along with the vehicle2 charging at swapping stations
bounce,how long does the battery last for bounce 2wheelers,for more details on the capacity of the battery used please contact the brands customer support team at 18003092830 or you can choose to write to them at helpbounceinfinitycom you can also choose to contact the authorised dealer
bounce,how quickly does the battery for a bounce 2wheeler charge,battery for bounce vehicles gets fully charged within 45 hours
bounce,do i get a spare tyre with bounce 2wheelers,no a spare tyre is not provided with bounce electric 2wheeler
bounce,what aftersales services are being provided by bounce for 2wheelers,please contact the brands customer support team at 18003092830 or you can choose to write to them at helpbounceinfinitycom to get more details on the aftersales services provided by them
bounce,what is the average cost of one service for bounce 2wheelers,the average cost of service will depend on the condition of the vehicle for more details please contact the brands customer support team at 18003092830 or you can choose to write to them at helpbounceinfinitycom you can also contact the brand authorised dealer for assistance
bounce,will flipkart deliver the bounce 2wheeler at my home,no after the registration process the brand authorised dealer will contact you to handover the vehicle at their location
bounce,how do i contact bounces customer support team,you can contact bounces customer support team at 18003092830 or you can choose to write to them at helpbounceinfinitycom
bounce,what subsidies are being offered by bounce and how to claim them,for bounce vehicles the central subsidy is already included and you do not have to apply for it again the authorised dealers will assist you with the state subsidies at the time of the vehicle deliverynote all subsidy discounts will be provided to customers if they are firsttime electric scooter buyer
bounce,when and how many times do bounce vehicles require servicing,bounce vehicles must be serviced every 6 months or after 6000 kilometers whichever is earlier
bounce,is there a battery subscription model for bounce 2wheelers,please note the brand offers battery subscriptionbased models however currently they are not available on flipkart
bounce,the address while ordering bounce vehicle on flipkart is different from the one on my address proof aadhar card what should i do now,please cancel the order and place a new order with the correct address for more details you can also contact the brand authorised dealer
bounce,how much electricity is required to charge the battery of a bounce vehicle,bounce vehicles battery consumes 23 kwh to get completely charged
bounce,can i buy more than one bounce vehicle in my namesame flipkart account,no only one vehicle can be purchased through a flipkart account please note the price displayed on the product page includes subsidy provided by the central government and is linked to your aadhar card and that would mean that this price is applicable only for your first purchase of an electrical vehicle
bounce,can i choose a different model of the bounce 2wheeler at the brand authorised dealer after doing the test drive,in case you want to buy a different model than the one you have already purchased after test drive at the brand authorised dealer you can cancel the existing order and place a new order for the desired model please note the option to cancel the order will not be available after the submission of documents required for processing registration
bounce,how do you make sure that i dont get unwarranted calls for cross sellupsell from bounceinsurance partners etc,please note bounce will not contact you without your consent in case you receive any unwarranted calls please contact the brands customer support team at 18003092830 or you can choose to write to them at helpbounceinfinitycom and they will help you
bounce,in case i want to relocate to a different state do i need to get the bounce vehicle registered in that state also and will the brand help me with that,in case you relocate to a different state please contact the local regional transport office for assistance with registration change
bounce,will bounce crosssellup sell when i visit the brand authorised dealer,please note once youve completed the purchase on flipkart the brand authorised dealer will not market any other products however they may recommend accessories that may be suitable for your vehicle
ampere,is the price shown on the product page for ampere magnus ex the final amount,please note the price shown on the product page is the exshowroom price of the vehicle you will also have to pay for registration insurance any other accessories and valueadded services opted as applicable at the brand authorised dealer
ampere,can i pay for the vehicle registration and insurance on flipkart for ampere magnus ex,currently the option to pay for the registration and insurance is not available on flipkart please note the vehicle registration amount needs to be paid directly to the brand authorised dealer you can choose to buy vehicle insurance from the dealer or on your own from a different insurance service provider
ampere,what is the advantage of buying ampere magnus ex through flipkart,if you choose to buy the 2wheeler on flipkart then the vehicle will be delivered to you within 15 days by the brand authorised dealers in case you book the vehicle at a showroom it may take up to 90 days for the vehicle to be delivered
ampere,what is the process after paying the exshowroom price for ampere magnus ex on flipkart,once youve paid the exshowroom price for the 2wheeler on flipkart the authorised dealer will contact you within 48 hours to initiate the process of registration after this you will need to visit the brand authorised dealer to submit the required documents and within the next 710 days the 2wheeler will be handed over to you at the authorised dealers location
ampere,how can i track my order for ampere magnus ex after completing my payment on flipkart,tracking your order for a 2wheeler on flipkart is easy and can be done through the my orders section of your flipkart account you can also choose to contact the brand authorised dealer to know more about the status of your 2wheeler
ampere,once i have paid for the registration and the insurance how do i track my order for ampere magnus ex,for ampere you can track the order status of your 2wheeler by visiting the my orders section of your flipkart account you can also contact the brand authorised dealer to know the status of your vehicle
